unix,datetime,speed,location
1741471800,2025-03-08 22:10:00,18.5,Sunshine Coast Airport
1741472400,2025-03-08 22:20:00,14.8,Sunshine Coast Airport
1741473000,2025-03-08 22:30:00,13.0,Sunshine Coast Airport
1741473600,2025-03-08 22:40:00,14.8,Sunshine Coast Airport
1741474200,2025-03-08 22:50:00,11.1,Sunshine Coast Airport
1741474800,2025-03-08 23:00:00,14.8,Sunshine Coast Airport
1741475400,2025-03-08 23:10:00,13.0,Sunshine Coast Airport
1741476000,2025-03-08 23:20:00,13.0,Sunshine Coast Airport
1741476600,2025-03-08 23:30:00,13.0,Sunshine Coast Airport
1741477200,2025-03-08 23:40:00,11.1,Sunshine Coast Airport
1741477800,2025-03-08 23:50:00,11.1,Sunshine Coast Airport
1741478400,2025-03-09 00:00:00,11.1,Sunshine Coast Airport
1741479000,2025-03-09 00:10:00,13.0,Sunshine Coast Airport
1741479600,2025-03-09 00:20:00,11.1,Sunshine Coast Airport
1741480200,2025-03-09 00:30:00,11.1,Sunshine Coast Airport
1741480800,2025-03-09 00:40:00,13.0,Sunshine Coast Airport
1741481400,2025-03-09 00:50:00,13.0,Sunshine Coast Airport
1741482000,2025-03-09 01:00:00,11.1,Sunshine Coast Airport
1741482600,2025-03-09 01:10:00,11.1,Sunshine Coast Airport
1741483200,2025-03-09 01:20:00,11.1,Sunshine Coast Airport
1741483800,2025-03-09 01:30:00,11.1,Sunshine Coast Airport
1741484400,2025-03-09 01:40:00,9.3,Sunshine Coast Airport
1741485000,2025-03-09 01:50:00,9.3,Sunshine Coast Airport
1741485600,2025-03-09 02:00:00,11.1,Sunshine Coast Airport
1741486200,2025-03-09 02:10:00,9.3,Sunshine Coast Airport
1741486800,2025-03-09 02:20:00,13.0,Sunshine Coast Airport
1741487400,2025-03-09 02:30:00,14.8,Sunshine Coast Airport
1741488000,2025-03-09 02:40:00,25.9,Sunshine Coast Airport
1741488600,2025-03-09 02:50:00,35.2,Sunshine Coast Airport
1741489200,2025-03-09 03:00:00,33.3,Sunshine Coast Airport
1741489800,2025-03-09 03:10:00,31.5,Sunshine Coast Airport
1741490400,2025-03-09 03:20:00,38.9,Sunshine Coast Airport
